class	json_data
Sanguine Angel	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+1", "Hardened heart, maiden’s shield"], ["2nd", "+2", "+1", "+1", "+1", "Tyrant’s discipline"], ["3rd", "+3", "+2", "+1", "+2", "Armored angel"], ["4th", "+4", "+2", "+1", "+2", "Tyrant’s discipline"], ["5th", "+5", "+3", "+2", "+3", "Eye of Mahathallah"], ["6th", "+6", "+3", "+2", "+3", "Tyrant’s discipline"], ["7th", "+7", "+4", "+2", "+4", "Mystique of Ardad Lili"], ["8th", "+8", "+4", "+3", "+4", "Tyrant’s discipline"], ["9th", "+9", "+5", "+3", "+5", "Hollowness of Doloras"], ["10th", "+10", "+5", "+3", "+5", "Angel of Eiseth, tyrant’s discipline"]]
Scar Seeker	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+1", "+1", "+0", "+1", "Enduring scar, painful purification", "—"], ["2nd", "+2", "+1", "+1", "+1", "Lay on hands", "+1 level of existing spellcasting class"], ["3rd", "+3", "+2", "+1", "+2", "Enduring scar", "—"], ["4th", "+4", "+2", "+1", "+2", "Smite evil 1/day", "+1 level of existing spellcasting class"], ["5th", "+5", "+3", "+2", "+3", "Enduring scar", "—"], ["6th", "+6", "+3", "+2", "+3", "Sanguine sacrifice", "+1 level of existing spellcasting class"], ["7th", "+7", "+4", "+2", "+4", "Enduring scar", "—"], ["8th", "+8", "+4", "+3", "+4", "Smite evil 2/day", "+1 level of existing spellcasting class"], ["9th", "+9", "+5", "+3", "+5", "Enduring scar", "—"], ["10th", "+10", "+5", "+3", "+5", "True martyr", "+1 level of existing spellcasting class"]]
Sentinel	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+0", "Obedience, symbolic weapon +1"], ["2nd", "+2", "+1", "+1", "+1", "Bonus feat"], ["3rd", "+3", "+2", "+1", "+1", "Divine boon 1, symbolic weapon +2"], ["4th", "+4", "+2", "+1", "+1", "Divine quickness +2"], ["5th", "+5", "+3", "+2", "+2", "Aligned strike, stalwart"], ["6th", "+6", "+3", "+2", "+2", "Divine boon 2, symbolic weapon +3"], ["7th", "+7", "+4", "+2", "+2", "Bonus feat, practiced combatant"], ["8th", "+8", "+4", "+3", "+3", "Divine quickness +4, righteous leader"], ["9th", "+9", "+5", "+3", "+3", "Divine boon 3, symbolic weapon +4"], ["10th", "+10", "+5", "+3", "+3", "Unstoppable warrior"]]
Shackles Pirate	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+2", "+0", "Quick appraise, sodden stealth +2"], ["2nd", "+1", "+0", "+3", "+0", "Bogstep, deep breath"], ["3rd", "+2", "+1", "+3", "+1", "Sneak attack +1d6"], ["4th", "+3", "+1", "+4", "+1", "Navigate maelstrom"], ["5th", "+3", "+1", "+4", "+1", "Sodden stealth +4"], ["6th", "+4", "+2", "+5", "+2", "Sneak attack +2d6"], ["7th", "+5", "+2", "+5", "+2", "Grapple ship, quick appraise"], ["8th", "+6", "+2", "+6", "+2", "Shipmind"], ["9th", "+6", "+3", "+6", "+3", "Sneak attack +3d6"], ["10th", "+7", "+3", "+7", "+3", "Fogcraft, sodden stealth +6"]]
Shadowdancer	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+0", "Hide in plain sight"], ["2nd", "+1", "+1", "+1", "+1", "Evasion, darkvision, uncanny dodge"], ["3rd", "+2", "+1", "+2", "+1", "Rogue talent, shadow illusion, summon shadow"], ["4th", "+3", "+1", "+2", "+1", "Shadow call, shadow jump 40 ft."], ["5th", "+3", "+2", "+3", "+2", "Defensive roll, improved uncanny dodge"], ["6th", "+4", "+2", "+3", "+2", "Rogue talent, shadow jump 80 ft."], ["7th", "+5", "+2", "+4", "+2", "Slippery mind"], ["8th", "+6", "+3", "+4", "+3", "Shadow jump 160 ft., shadow power"], ["9th", "+6", "+3", "+5", "+3", "Rogue talent"], ["10th", "+7", "+3", "+5", "+3", "Improved evasion, shadow jump 320 ft., shadow master"]]
Shieldmarshal	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+0", "+1", "+1", "Eye for detail, legal judgment 1/day"], ["2nd", "+2", "+1", "+1", "+1", "Danger sense, gunmarshal"], ["3rd", "+3", "+1", "+2", "+2", "Labyrinthine cunning"], ["4th", "+4", "+1", "+2", "+2", "Legal judgment 2/day"], ["5th", "+5", "+2", "+3", "+3", "Urban commando"], ["6th", "+6", "+2", "+3", "+3", "Gunhunter"], ["7th", "+7", "+2", "+4", "+4", "Legal judgment 3/day"], ["8th", "+8", "+3", "+4", "+4", "Double jeopardy"], ["9th", "+9", "+3", "+5", "+5", "Quarry"], ["10th", "+10", "+3", "+5", "+5", "High shieldmarshal, legal judgment 4/day"]]
Skyseeker	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+1", "+1", "+0", "+1", "Ancestral weapon +1d6, citadel keeper", "—"], ["2nd", "+2", "+1", "+1", "+1", "Rune-carved armor", "+1 level of divine spellcasting class"], ["3rd", "+3", "+2", "+1", "+2", "Commune 1/week", "+1 level of divine spellcasting class"], ["4th", "+4", "+2", "+1", "+2", "Ancestral weapon +2d6, dwarven armor training", "+1 level of divine spellcasting class"], ["5th", "+5", "+3", "+2", "+3", "Darkvision", "—"], ["6th", "+6", "+3", "+2", "+3", "Runes of resistance", "+1 level of divine spellcasting class"], ["7th", "+7", "+4", "+2", "+4", "Ancestral weapon +3d6, darkvision +30 ft.", "+1 level of divine spellcasting class"], ["8th", "+8", "+4", "+3", "+4", "Paths of the ancients", "+1 level of divine spellcasting class"], ["9th", "+9", "+5", "+3", "+5", "Stalwart", "—"], ["10th", "+10", "+5", "+3", "+5", "Ancestral weapon +4d6, call to arms", "+1 level of divine spellcasting class"]]
Sleepless Detective	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+1", "Canny sleuth, forensic thaumaturgy, sneak attack +1d6"], ["2nd", "+1", "+1", "+1", "+1", "Follow clues"], ["3rd", "+2", "+1", "+2", "+2", "Deductive examination 3/day"], ["4th", "+3", "+1", "+2", "+2", "Eye for detail, sneak attack +2d6"], ["5th", "+3", "+2", "+3", "+3", "Hematomancy 3/day"], ["6th", "+4", "+2", "+3", "+3", "Thoughtful reexamination"], ["7th", "+5", "+2", "+4", "+4", "Discern lies, sneak attack +3d6"], ["8th", "+6", "+3", "+4", "+4", "Predictive riposte"], ["9th", "+6", "+3", "+5", "+5", "Pierce deception"], ["10th", "+7", "+3", "+5", "+5", "Reconstruction, sneak attack +4d6"]]
Soul Warden	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Channel damage 1d6, focus item", "+1 level of spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "Channel casting, corpse whisperer", "+1 level of spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "Bonus feat, channel damage 2d6", "+1 level of spellcasting class"], ["4th", "+2", "+1", "+1", "+2", "Channel casting, harvest", "+1 level of spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Channel damage 3d6, undead imposition", "+1 level of spellcasting class"], ["6th", "+3", "+2", "+2", "+3", "Bonus feat, channel casting", "+1 level of spellcasting class"], ["7th", "+3", "+2", "+2", "+4", "Channel damage 4d6, negative energy ward", "+1 level of spellcasting class"], ["8th", "+4", "+3", "+3", "+4", "Channel casting, necrotic resistance", "+1 level of spellcasting class"], ["9th", "+4", "+3", "+3", "+5", "Bonus feat, channel damage 5d6", "+1 level of spellcasting class"], ["10th", "+5", "+3", "+3", "+5", "Channel casting, life shell", "+1 level of spellcasting class"]]
Souldrinker	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Apocalyptic vow, cacodaemon familiar, obedience", "—"], ["2nd", "+1", "+1", "+1", "+1", "Enervation 2/day, soul pool", "+1 level of existing class"], ["3rd", "+1", "+1", "+1", "+2", "Daemonic boon 1", "+1 level of existing class"], ["4th", "+2", "+1", "+1", "+2", "Lesser oblivion", "+1 level of existing class"], ["5th", "+2", "+2", "+2", "+3", "Enervation 4/day", "+1 level of existing class"], ["6th", "+3", "+2", "+2", "+3", "Daemonic boon 2", "—"], ["7th", "+3", "+2", "+2", "+4", "Oblivion", "+1 level of existing class"], ["8th", "+4", "+3", "+3", "+4", "Enervation 6/day", "+1 level of existing class"], ["9th", "+4", "+3", "+3", "+5", "Daemonic boon 3", "+1 level of existing class"], ["10th", "+5", "+3", "+3", "+5", "Greater oblivion", "+1 level of existing class"]]
Sphere Singer	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+1", "+1", "Graceful hand, starsong, wanderer's hymm", "—"], ["2nd", "+1", "+1", "+1", "+1", "Versatile performance", "+1 level of existing spellcasting class"], ["3rd", "+2", "+1", "+2", "+2", "Sweet dreams", "+1 level of existing spellcasting class"], ["4th", "+3", "+1", "+2", "+2", "Wandering dream (dream)", "+1 level of existing spellcasting class"], ["5th", "+3", "+2", "+3", "+3", "Butterfly", "+1 level of existing spellcasting class"], ["6th", "+4", "+2", "+3", "+3", "Versatile performance, wandering dream (dream council)", "+1 level of existing spellcasting class"], ["7th", "+5", "+2", "+4", "+4", "Guide my steps, starsong (swift action)", "+1 level of existing spellcasting class"], ["8th", "+6", "+3", "+4", "+4", "Wandering dream (demand)", "+1 level of existing spellcasting class"], ["9th", "+6", "+3", "+5", "+5", "Fortune's favor", "—"], ["10th", "+7", "+3", "+5", "+5", "Tapestry traveler", "+1 level of existing spellcasting class"]]
Spherewalker	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+2", "+2", "+0", "Landmark, longstrider", "+1 level of spellcasting class"], ["2nd", "+1", "+3", "+3", "+0", "Efficient sleep, star slinger", "+1 level of spellcasting class"], ["3rd", "+2", "+3", "+3", "+1", "Dream link", "+1 level of spellcasting class"], ["4th", "+3", "+4", "+4", "+1", "Divine luck", "+1 level of spellcasting class"], ["5th", "+3", "+4", "+4", "+1", "Swarm form", "+1 level of spellcasting class"]]
Stalwart Defender	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+1", "AC Bonus (+1), Defensive stance"], ["2nd", "+2", "+1", "+1", "+1", "Defensive power"], ["3rd", "+3", "+2", "+1", "+2", "Uncanny dodge"], ["4th", "+4", "+2", "+1", "+2", "AC Bonus (+2), Defensive power"], ["5th", "+5", "+3", "+2", "+3", "Damage reduction 1/-"], ["6th", "+6", "+3", "+2", "+3", "Defensive power"], ["7th", "+7", "+4", "+2", "+4", "AC Bonus (+3), Damage reduction 3/-, improved uncanny dodge"], ["8th", "+8", "+4", "+3", "+4", "Defensive power"], ["9th", "+9", "+5", "+3", "+5", "Mobile defenses"], ["10th", "+10", "+5", "+3", "+5", "AC Bonus (+4), Damage reduction 5/-, defensive power, last word"]]
Stargazer	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+1", "+1", "Guiding light, mystery magic (hex)", "+1 level of existing spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "Sidereal arcana", "+1 level of existing spellcasting class"], ["3rd", "+2", "+1", "+2", "+2", "Mystery magic (Stars subdomain)", "+1 level of existing spellcasting class"], ["4th", "+3", "+1", "+2", "+2", "Sidereal arcana", "+1 level of existing spellcasting class"], ["5th", "+3", "+2", "+3", "+3", "Mystery magic (coat of many stars)", "+1 level of existing spellcasting class"], ["6th", "+4", "+2", "+3", "+3", "Sidereal arcana", "+1 level of existing spellcasting class"], ["7th", "+5", "+2", "+4", "+4", "Mystery magic (star chart)", "+1 level of existing spellcasting class"], ["8th", "+6", "+3", "+4", "+4", "Sidereal arcana", "+1 level of existing spellcasting class"], ["9th", "+6", "+3", "+5", "+5", "Mystery magic (hex)", "+1 level of existing spellcasting class"], ["10th", "+7", "+3", "+5", "+5", "Sidereal arcana, star's dance", "+1 level of existing spellcasting class"]]
Steel Falcon	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+0", "Enemy of slavers +2, heart of freedom, sailor and survivalist"], ["2nd", "+2", "+1", "+1", "+1", "Luck of the eagle 1/day"], ["3rd", "+3", "+2", "+1", "+1", "Heroic speech, natural trap 1"], ["4th", "+4", "+2", "+1", "+1", "Comrade’s bond 1/day, superior aid"], ["5th", "+5", "+3", "+2", "+2", "Enemy of slavers +4, subtle manipulator, Talmandor’s blessing"], ["6th", "+6", "+3", "+2", "+2", "Chainbreaker, natural trap 2, luck of the eagle 2/day"], ["7th", "+7", "+4", "+2", "+2", "Comrade’s bond 2/day (swift)"], ["8th", "+8", "+4", "+3", "+3", "Talmandor’s fury"], ["9th", "+9", "+5", "+3", "+3", "Enemy of slavers +6, natural trap 3"], ["10th", "+10", "+5", "+3", "+3", "Comrade’s bond 3/day (free), luck of the eagle 3/day"]]
Storm Kindler	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+1", "+0", "+1", "Oceanic spirit", "—"], ["2nd", "+1", "+1", "+1", "+1", "Seasight, storm shape (20 ft., Small)", "+1 level of spellcasting class"], ["3rd", "+2", "+2", "+1", "+2", "Aura of calm (5 ft.)", "+1 level of spellcasting class"], ["4th", "+3", "+2", "+1", "+2", "Storm shape (30 ft., Medium), wave breaker", "+1 level of spellcasting class"], ["5th", "+3", "+3", "+2", "+3", "Aura of calm (10 ft.), thunderstruck", "—"], ["6th", "+4", "+3", "+2", "+3", "Storm shape (40 ft., Large), weather’s fury 3d6", "+1 level of spellcasting class"], ["7th", "+5", "+4", "+2", "+4", "Aura of calm (15 ft.), eye of the storm", "+1 level of spellcasting class"], ["8th", "+6", "+4", "+3", "+4", "Fickle winds, storm shape (50 ft., Huge), weather’s fury 4d6", "+1 level of spellcasting class"], ["9th", "+6", "+5", "+3", "+5", "Aura of calm (20 ft.), echoing thunder", "—"], ["10th", "+7", "+5", "+3", "+5", "Storm mastery, storm shape (60 ft., Huge), weather’s fury 5d6", "+1 level of spellcasting class"]]
Student of Perfection	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+1", "+0", "AC bonus +1, ki pool, martial artist"], ["2nd", "+2", "+1", "+1", "+1", "Ki power"], ["3rd", "+3", "+2", "+2", "+1", "Bonus feat"], ["4th", "+4", "+2", "+2", "+1", "Ki power"], ["5th", "+5", "+3", "+3", "+2", "AC bonus +2"], ["6th", "+6", "+3", "+3", "+2", "Ki power"], ["7th", "+7", "+4", "+4", "+2", "Bonus feat"], ["8th", "+8", "+4", "+4", "+3", "Ki power"], ["9th", "+9", "+5", "+5", "+3", "AC bonus +3"], ["10th", "+10", "+5", "+5", "+3", "Ki power, perfection"]]
Student of War	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+0", "+0", "+1", "Additional skill, know your enemy +1 (move)"], ["2nd", "+2", "+1", "+1", "+1", "Combat feat, mind over metal"], ["3rd", "+3", "+1", "+1", "+2", "Additional skill, anticipate 1/day"], ["4th", "+4", "+1", "+1", "+2", "Know your enemy +2"], ["5th", "+5", "+2", "+2", "+3", "Additional skill, combat feat"], ["6th", "+6", "+2", "+2", "+3", "Anticipate 2/day, telling blow"], ["7th", "+7", "+2", "+2", "+4", "Additional skill, know your enemy +3 (swift)"], ["8th", "+8", "+3", "+3", "+4", "Combat feat"], ["9th", "+9", "+3", "+3", "+5", "Additional skill, anticipate 3/day, nemesis"], ["10th", "+10", "+3", "+3", "+5", "Deadly blow"]]
Tattooed Mystic	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Familiar tattoo", "—"], ["2nd", "+1", "+1", "+1", "+1", "Mystic tattoo", "+1 level of spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "Magical tattoo artist", "+1 level of spellcasting class"], ["4th", "+2", "+1", "+1", "+2", "Mystic tattoo", "+1 level of spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Skillful tattooist", "—"], ["6th", "+3", "+2", "+2", "+3", "Mystic tattoo", "+1 level of spellcasting class"], ["7th", "+3", "+2", "+2", "+4", "Tattoo mastery", "+1 level of spellcasting class"], ["8th", "+4", "+3", "+3", "+4", "Mystic tattoo", "+1 level of spellcasting class"], ["9th", "+4", "+3", "+3", "+5", "Potent tattoos", "—"], ["10th", "+5", "+3", "+3", "+5", "Mystic tattoo", "+1 level of spellcasting class"]]
Technomancer	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Recondition (1 item), technical expertise", "—"], ["2nd", "+1", "+1", "+1", "+1", "Efficient construction, technic spell mastery 1", "+1 level of arcane spellcasting"], ["3rd", "+1", "+1", "+1", "+2", "Arcane battery, study technology", "+1 level of arcane spellcasting"], ["4th", "+2", "+1", "+1", "+2", "Recondition (2 items), recycle technology", "+1 level of arcane spellcasting"], ["5th", "+2", "+2", "+2", "+3", "Command robot (1/day), technic spell mastery 2", "+1 level of arcane spellcasting"], ["6th", "+3", "+2", "+2", "+3", "Unified energy", "+1 level of arcane spellcasting"], ["7th", "+3", "+2", "+2", "+4", "Command robot (2/day), recondition (3 items)", "+1 level of arcane spellcasting"], ["8th", "+4", "+3", "+3", "+4", "Applied learning, technic spell mastery 3", "+1 level of arcane spellcasting"], ["9th", "+4", "+3", "+3", "+5", "Command robot (3/day)", "+1 level of arcane spellcasting"], ["10th", "+5", "+3", "+3", "+5", "Field improvisation, recondition (4 items)", "+1 level of arcane spellcasting"]]
Thuvian Alchemist	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Healing solution", "+1 level of arcane spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "Thuvian discovery", "+1 level of arcane spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "Bombs, curative enhancement", "+1 level of arcane spellcasting class"], ["4th", "+2", "+1", "+1", "+2", "Thuvian discovery", "+1 level of arcane spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Curative enhancement", "+1 level of arcane spellcasting class"], ["6th", "+3", "+2", "+2", "+3", "Bombs, Thuvian discovery", "+1 level of arcane spellcasting class"], ["7th", "+3", "+2", "+2", "+4", "Curative enhancement", "+1 level of arcane spellcasting class"], ["8th", "+4", "+3", "+3", "+4", "Thuvian discovery", "+1 level of arcane spellcasting class"], ["9th", "+4", "+3", "+3", "+5", "Bombs, curative enhancement", "+1 level of arcane spellcasting class"], ["10th", "+5", "+3", "+3", "+5", "Eternal youth", "+1 level of arcane spellcasting class"]]
Twilight Talon	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+0", "+1", "Many hats, sneak attack +1d6"], ["2nd", "+1", "+1", "+1", "+1", "Enhanced tattoo 1, resourceful agent"], ["3rd", "+2", "+1", "+1", "+2", "Eye for detail"], ["4th", "+3", "+1", "+1", "+2", "Enhanced tattoo 2, sneak attack +2d6"], ["5th", "+3", "+2", "+2", "+3", "Dead drop (minor), resourceful agent (enhanced critical)"], ["6th", "+4", "+2", "+2", "+3", "Enhanced tattoo 3, unassuming presence"], ["7th", "+5", "+2", "+2", "+4", "Sneak attack +3d6"], ["8th", "+6", "+3", "+3", "+4", "Enhanced tattoo 4, dead drop (major)"], ["9th", "+6", "+3", "+3", "+5", "Resourceful agent (staggering critical)"], ["10th", "+7", "+3", "+3", "+5", "Enhanced tattoo 5, sneak attack +4d6"]]
Ulfen Guard	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+1", "Chosen ally, guard dedication, rage"], ["2nd", "+2", "+1", "+1", "+1", "Guarded thoughts"], ["3rd", "+3", "+2", "+1", "+2", "Guard dedication"], ["4th", "+4", "+2", "+1", "+2", "Adaptable guardian"], ["5th", "+5", "+3", "+2", "+3", "Guard dedication"], ["6th", "+6", "+3", "+2", "+3", "Tight follower"], ["7th", "+7", "+4", "+2", "+4", "Guard dedication"], ["8th", "+8", "+4", "+3", "+4", "Reactive strike"], ["9th", "+9", "+5", "+3", "+5", "Guard dedication"], ["10th", "+10", "+5", "+3", "+5", "Unbreakable defender"]]
Umbral Court Agent	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+1", "+0", "+1", "Blessings of darkness, shadow courtier, tenebrous magic", "—"], ["2nd", "+1", "+1", "+1", "+1", "Darkvision", "+1 level of spellcasting class"], ["3rd", "+2", "+2", "+1", "+2", "Shadow chains", "+1 level of spellcasting class"], ["4th", "+3", "+2", "+1", "+2", "Shadow jump (40 ft.)", "+1 level of spellcasting class"], ["5th", "+3", "+3", "+2", "+3", "Unnerving gaze (shaken 1 round)", "—"], ["6th", "+4", "+3", "+2", "+3", "Grasping darkness, shadow jump (80 ft.)", "+1 level of spellcasting class"], ["7th", "+5", "+4", "+2", "+4", "Darkvision +30 ft., unnerving gaze (shaken 1d4 rounds)", "+1 level of spellcasting class"], ["8th", "+6", "+4", "+3", "+4", "Shadow jump (160 ft.)", "+1 level of spellcasting class"], ["9th", "+6", "+5", "+3", "+5", "Unnerving gaze (staggered 1 round)", "—"], ["10th", "+7", "+5", "+3", "+5", "Crushing umbra, shadow jump (320 ft.)", "+1 level of spellcasting class"]]
Veiled Illusionist	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Sivanah’s veil (human), veil pool", "+1 level of spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "Sivanah’s veil (halfling)", "+1 level of spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "Veil pool (auditory)", "+1 level of spellcasting class"], ["4th", "+2", "+1", "+1", "+2", "Sivanah’s veil (elf )", "+1 level of spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Quick veil (move), veil pool (tactile)", "+1 level of spellcasting class"], ["6th", "+3", "+2", "+2", "+3", "Sivanah’s veil (gnome)", "+1 level of spellcasting class"], ["7th", "+3", "+2", "+2", "+4", "Quick veil (swift)", "+1 level of spellcasting class"], ["8th", "+4", "+3", "+3", "+4", "Sivanah’s veil (cyclops)", "+1 level of spellcasting class"], ["9th", "+4", "+3", "+3", "+5", "Veil pool (extraordinary senses)", "+1 level of spellcasting class"], ["10th", "+5", "+3", "+3", "+5", "Sivanah’s veil (naga), true veil", "+1 level of spellcasting class"]]
Westcrown Devil	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+0", "Classically trained, founders’ favor (eye of Vadrus [devices])"], ["2nd", "+1", "+1", "+1", "+1", "Council’s secret"], ["3rd", "+2", "+1", "+2", "+1", "Founders’ favor (Crucisal’s guidance), sneak attack +1d6"], ["4th", "+3", "+1", "+2", "+1", "Council’s secret, Founders’ favor (eye of Vadrus [barriers])"], ["5th", "+3", "+2", "+3", "+2", "Founders’ favor (Adel’s craftsmanship)"], ["6th", "+4", "+2", "+3", "+2", "Council’s secret, sneak attack +2d6"], ["7th", "+5", "+2", "+4", "+2", "Founders’ favor (Rixana’s bounty)"], ["8th", "+6", "+3", "+4", "+3", "Council’s secret, founders’ favor (Adel’s craftsmanship, Palmor’s recovery)"], ["9th", "+6", "+3", "+5", "+3", "Founders’ favor (Dotara’s shroud), sneak attack +3d6"], ["10th", "+7", "+3", "+5", "+3", "Council’s secret, founders’ favor (Arodennama’s avatar)"]]
Winter Witch	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Hyperboreal patronage, winter withcraft", "—"], ["2nd", "+1", "+1", "+1", "+1", "Freeze and thaw", "+1 level of witch class"], ["3rd", "+1", "+1", "+1", "+2", "Unnatural cold", "+1 level of witch class"], ["4th", "+2", "+1", "+1", "+2", "Sculpt ice and snow", "+1 level of witch class"], ["5th", "+2", "+2", "+2", "+3", "—", "+1 level of witch class"], ["6th", "+3", "+2", "+2", "+3", "Blizzard sight", "+1 level of witch class"], ["7th", "+3", "+2", "+2", "+4", "—", "+1 level of witch class"], ["8th", "+4", "+3", "+3", "+4", "Unearthly cold", "+1 level of witch class"], ["9th", "+4", "+3", "+3", "+5", "—", "+1 level of witch class"], ["10th", "+5", "+3", "+3", "+5", "Iceglide, inexorable cold", "+1 level of witch class"]]
