name	source	hit_die	alignment	role	requirements	description	url
Pathfinder Savant	Adventurer's Guide pg. 140	d6.				Pathfinder savants are specialists in the theory and practice of magic, illuminating mysteries of the eldritch fabric that permeates existence. The path of the savant brings expertise in the lore of glyphs and sigils, knowledge of exotic spells, and the power to unlock the full potential of magical devices. This skill also makes savants quite valuable to adventuring parties, both in their mastery over ancient traps that utilize old magic and in their skill at identifying and utilizing magic items found in the field. Of course, with their focus on the intellectual portions of adventuring, Pathfinder savants are often ill-equipped to handle the tougher, more excruciating parts of a typical dungeon delve; melee combat, wrenching open stuck doors, and enduring dangerous and unhealthy environments are not the savant’s forte. As a result, they rarely undertake solo missions, instead allying with wellrounded groups of fellow adventurers in order to interact with history and strange archaic wonders without dealing with the grislier portions of exploration all on their own. To the Pathfinder savant, this is merely a logical extension of their preferred role in exploration, but that doesn’t protect them from periodic sneers and veiled insults from more physically focused companions. Of course, most such associates are quick to beg forgiveness when, inevitably, the savant is needed to decipher the workings of a strange magical device or to call upon their significant magical power to solve problems that cannot be dealt with through brawn alone.Requirements<br>To qualify to become a Pathfinder savant, a character must fulfill the following criteria.<br>Feats: Magical Aptitude, any one item crafting feat.<br>Skills: Knowledge (arcana) 5 ranks, Spellcraft 5 ranks, Use Magic Device 5 ranks.<br>Special: Ability to cast 2nd-level spells.Class Skills<br>The Pathfinder Savant's class skills are Appraise (Int), Knowledge (all) (Int), Linguistics (Int), Perception (Wis), Spellcraft (Int), Survival (Wis), and Use Magic Device (Cha).<br>Skill Points at each Level: 2 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Pathfinder%20Savant
Pit Fighter	Paths of Prestige pg. 40	d10.	Any nonlawful.			Any good pit fighter will tell you, it doesn’t matter how well you fight—all the crowd cares about is blood, and they don’t care if it’s yours or the other guy’s. So if you want to survive your time in the pit, make sure the people get their blood, and lots of it. If you’re lucky enough, the audience will be on your side, you’ll feel the roar of the crowd pounding in your chest, and nothing can stop you.<br>This simple philosophy is what separates a true pit fighter from the rest of the castoffs and washed-up gladiators found in arenas all across Golarion. Whether battling beasts in the filthy pits of Belkzen, or combating summoned fiends in the coliseums of Westcrown, a true pit fighter makes sure the audience sees the difference.<br>While pit fighters’ lives might seem defined by their profession, some do manage to escape the pits, either by winning their freedom in battle or by breaking their chains in the night. Though they may no longer be pit fighters by profession, they will always be pit fighters at heart, and often long for the excitement of battle and the roar of the crowd years after they’ve officially retired.Requirements<br>To qualify to become a pit fighter, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Pit%20Fighter
Proctor	Concordance of Rivals pg. 44	d8.	Any neutral.			The most ardent worshippers of the monitor demigods, called proctors, devote their lives to serving their divinities. Some proctors are wanderers, but most embed themselves in a community; experienced proctors are often highly respected for their even-handed wisdom as mediators or judges. In the case of proctors who revere the protean lords, these “communities” might consist of thieves or anarchists, but such proctors are no less respected for their expertise.Requirements<br>To qualify to become a proctor, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Proctor
Prophet of Kalistrade	Paths of Prestige pg. 42	d8.	Lawful neutral.			Any fool off the street can earn a few copper pieces for his labor, but the white-gloved leaders of Druma know that the only true path to success is that set forth in the Prophecies of Kalistrade, a series of directives that detail a strict regimen believers must follow in order to achieve wealth and prosperity. Such prohibitions include abstaining from several kinds of meat, most sexual activity, and virtually all physical contact with other people (wearing full-length white gloves in public to avoid inadvertent touching).<br>Despite their eccentric ways, none can deny that in many cases the strictures of Kalistrade seem to lead their adherents to great wealth. The intense strength of will needed to follow the Prophecies of Kalistrade seems to shape the prophets into preternaturally calm and focused individuals who are as ruthless in the market as they are skilled at twisting words and formulating elaborate loopholes in contracts.Requirements<br>To qualify to become a prophet of Kalistrade, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Prophet%20of%20Kalistrade
Pure Legion Enforcer	Inner Sea Combat pg. 32	d10.	Any lawful.			The nation of Rahadoum holds all religions equally in contempt. From calling down the holy fires of Iomedae to saying a quiet prayer on behalf of the dead to Pharasma, any expression of religious worship or spiritual proselytization is a crime punishable by fines, exile, imprisonment—or worse. These anti-religion laws, part of a larger code known as the Laws of Man, were originally created as the solution to the Oath Wars, a decades-long series of holy wars between the faithful of Sarenrae and followers of Nethys and Norgorber that ravaged Rahadoum centuries ago.<br>The Pure Legion is a government-sponsored military organization created to enforce the Laws of Man within Rahadoum’s borders and territorial waters. While the Pure Legion employs many different types of agents, most are simple soldiers who double as city guards. The enforcers, however, are investigators and spies who specialize in ferreting out hidden cults, clandestine relic smugglers, subversive philosophers, and religious terrorists. They might lead squads of rankand- file legionnaires, operate in pairs, or work alone. Though their methods vary, all Pure Legion enforcers are dedicated to keeping their nation free of the gods’ shackles by tracking down and purging any divine influence from the Kingdom of Man. Some take on an atheistic fervor that rivals the zealotry of those they seek to keep out of Rahadoum, but most enforcers are simply incredibly skilled at their jobs rather than suffering from any kind of mind-clouding ideology.Requirements<br>To qualify to become a Pure Legion enforcer, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Pure%20Legion%20Enforcer
Rage Prophet	Advanced Player's Guide pg. 275	d10.	Rage prophets may be of any nonlawful alignment, but chaotic alignments are more common, as they are in the barbarian tribes from which they hail. Wandering rage prophets are usually chaotic, living apart from any tribe and the tribal structure of their heritage as they take up the adventuring life.	The rage prophet has considerable spellcasting ability, but it usually serves as a conduit to enhance his fighting prowess. His combat skills are considerable and his ability to keep himself going in any fight and to focus his physical rage into supernatural power gives him an unexpected boost in power and versatility to overcome any challenge.		Throughout the wilderness, there are those warriors whose powers are infused by the spirits, who see and hear into the world beyond and draw unthinkable reserves of power from it. They are the chosen of the gods, and they often hold status nearly equal to that of a chief or shaman in a typical tribe, or sometimes even exceeding this. Rage prophets can dispense advice through their communion with the spirits and ability to divine the future.<br>Rage prophets are always barbarian/oracles, though some have levels in other classes as well. The most popular oracle mystery among rage prophets is that of battle, for skill in battle is respected in barbarian society, but oracles of all mysteries find their way into positions as war-chiefs, counselors, and leaders. Some rage prophets choose to live apart or to act as wandering champions, belonging to all tribes and none, following the lead of their spirit guides rather than the dictates of any one tribal chief or council. Though sometimes looked at askance by tribal leaders, these wanderers are popular with many barbarians, who see them as the perfect exemplars of the strength, virtue, and power of the free folk, owing nothing to anyone but the sky above, the earth beneath, and the spirits within.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Rage%20Prophet
Razmiran Priest	Paths of Prestige pg. 44	d8.	Any nongood.			Those who live within the boundaries of Razmir’s holy lands know the power of the Living God. He makes his presence felt through demands of fealty, ever-increasing tithes, and the less-than-gentle hands of his most devout subjects. Of these devotees, it is Razmir’s clergy that most accurately represents the fervor of their lord. They roam the lands spreading word of the power of Razmir, and using that power to convince the unfaithful of their misplaced loyalties in other gods and governments.<br>The Razmiran priest, one of the most powerful of Razmir’s servants, brings the Living God’s gifts to the common folk and his wrath to his enemies. From behind his mask, the priest judges all he sees, meting out harsh justice in the name of his deity. Many doubt the powers of the clergy, and some would even dare to call Razmir “false.” These fools soon learn the error of their ways when the Razmiran priest pays them a visit, using the gifts of the god to smite such heretics.<br>A devotee who wishes to become one of Razmir’s most trusted priests must undergo a lengthy ritual in the capital of Thronestep. It is said that Razmir himself conducts the final steps of the ritual, blessing the new priest and judging his purity. Those who are found worthy emerge from this secret, mysterious process as absolute believers, while those deemed inadequate are never seen again. A new Razmiran priest finds himself on a quick path to power, prestige, and wealth, as the hierarchy of Razmir’s faith treats most priests as superiors. Indeed, many Razmiran priests find themselves quickly rising in rank to become Heralds of the Eighth Step or possessors of even greater power in short order.Requirements<br>To qualify to become a Razmiran priest, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Razmiran%20Priest
Red Mantis Assassin	Adventurer's Guide pg. 154	d8.	Lawful evil.			Initiates of the Red Mantis usually begin their training as rogues, often with fighter or ranger levels, as stealth and skill at arms are both prerequisites to joining the order.Requirements<br>To qualify to become a Red Mantis assassin, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Red%20Mantis%20Assassin
Riftwarden	Paths of Prestige pg. 46	d8.	Any nonevil.			Guardians of the Great Beyond’s integrity and stability, the Riftwardens can be found virtually anywhere throughout the multiverse combating their hated foes, the Blackfire Adepts. They travel throughout the Great Beyond as guides and wardens, sworn to protecting the boundaries between planes and punishing evildoers who would seek to use planar gateways for their own nefarious purposes.Requirements<br>To qualify to become a Riftwarden, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Riftwarden
Ritualist	Chronicle of Legends pg. 12	d6.				Long-forgotten occult rituals offer great power at a terrible price. While most traditional spellcasters consider these occult rituals dangerous and unreliable, some spellcasters hone their skills with such rituals, making the strange spells more likely to succeed and less likely to cause unintended harm. As ritualists deepen their understanding of ritual magic, they broaden their understanding of all things occult, becoming true masters of mysteries which others have no ability to comprehend. Even those uninitiated in the art of magic can cast rituals and interact with the fabric of magic, but their rituals pale in comparison to the power of those who have sacrificed, specialized, studied, and trained to perfect such arts.<br>Becoming a ritualist requires a vast amount of knowledge, time, and training. Those who take up the calling of ritualist are typically high-ranking members of esoteric orders, though their pursuits often lead them down paths that even their peers versed in the occult shy away from. By seeking and honing such dangerous magic, ritualists regularly risk death—or worse. If a ritualist reaches the height of her power before losing sight of her soul or becoming lost in the dark voids between worlds, she becomes a force beyond reckoning, able to learn and perform powerful rituals at alarming speeds.<br>Ritualists who repeatedly put their peers in grave danger rarely last long as members of organized groups, often becoming outcasts. These outcast ritualists are typically some combination of fatalistic, obsessive, and unpredictable in their search for occult power.Requirements<br>To qualify to become a ritualist, a character must fulfill all of the following criteria.<br>Skills: Knowledge (arcana or history) 8 ranks.<br>Spells: Ability to cast 3rd-level spells.<br>Special: The character must be a member of a group that regularly deals with the occult, such as the Esoteric Order of the Palatine Eye or the Night Heralds. The character must have successfully cast at least one occult ritual as the primary caster.Class Skills<br>The Ritualist's class skills are Appraise (Int), Knowledge (all) (Int), Linguistics (Int), Spellcraft (Int), and Use Magic Device (Cha)..<br>Skill Points at each Level: 2 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Ritualist
Rivethun Emissary	Adventurer's Guide pg. 164	d8.				Rivethun teachings cultivate strength and empathy through knowledge, self-control, and willpower. At their culmination lies the ability to invest pain and discord into a spirit companion, and to take in a portion of that spirit’s burden in exchange. This process creates a powerful bond to the spirit realms, allowing the Rivethun emissary to sense and pacify otherworldly creatures, and to channel powerful outsiders into the physical form of her spirit animal, creating a powerful hybrid called an animus to guide, protect, and advise her. Rivethun emissaries develop much like shamans, but their powerful bond with a singular spirit guide stunts their ability to bond with any wayward spirits they encounter.<br>Few Rivethun emissaries still exist among the Five Kings Mountains, and many dwarves consider the art of mingling mortal soul with outsider quintessence to be an abomination. Most learn the art from long-discarded writings or ancient and powerful beings that haunt former sacred sites deep below the surface.Requirements<br>To qualify to become a Rivethun emissary, a character must fulfill the following criteria.<br>Feats: Iron Will, Spirit Beacon.<br>Skills: Diplomacy 5 ranks, Knowledge (religion) 5 ranks.<br>Special: Must have a familiar or spirit animal.Class Skills<br>The Rivethun Emissary's class skills are Diplomacy (Cha), Handle Animal (Cha), Heal (Wis), Intimidate (Cha), Knowledge (nature) (Int), Knowledge (planes) (Int), Knowledge (religion) (Int), Sense Motive (Wis), Spellcraft (Int), and Survival (Wis).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Rivethun%20Emissary
Rose Warden	Paths of the Righteous pg. 20	d8.	Chaotic good.			Tyrants may attempt to crush the seeds of dissent before they can ever bloom, but the goddess Milani is always there to cultivate hope in the very heart of oppression and uplift the subjugated. Those known as rose wardens serve as her champions, their elite skills contributing to the cause of revolution—yet they are not obvious crusaders who revel in personal fame or glory. Though they oppose despotic governments, they do not act as anarchists or criminals; for example, rose wardens try to prevent demonstrations from becoming destructive riots to avoid harming innocents. Some of the greatest rose wardens are former thieves who adapted their talents to aid the downtrodden.Requirements<br>To qualify to become a rose warden, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Rose%20Warden
Runeguard	Paths of the Righteous pg. 22	d6.	Lawful good, neutral good, or chaotic good.			The ancient traditions of Thassilonian magic became mired in the culture of sin due to the legacy of that land’s runelords, but taken in its purest form, Thassilonian magic is no more good than evil. Indeed, at Thassilon’s outset—before the runelords seized control—the original incarnations of these seven schools of magic were not associated with sins at all, but rather with the seven virtues of rule. This original lore is all but lost, but within the city-states of Varisia (particularly in Magnimar), a small order of spellcasters seeks to reclaim the knowledge of those empowering virtues. With the might of virtuous runes, they protect their homes from the lingering evil of Thassilon and look to the guidance of Soralyon, the Mystic Angel, to aid them in their quest. These spellcasters have also come to believe that a runelord’s return to power is practically an inevitable threat that must be prepared for and defended against.<br>The role of a runeguard varies depending on the type of spellcasting he employs, but most tend to be more defensive rather than offensive.Requirements<br>To qualify to become a runeguard, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Runeguard
Sacred Sentinel	Paths of the Righteous pg. 24	d10.	Lawful good.			Torag is thought of by many as a god of forging, but his primary areas of concern also include protection and strategy. Among the followers of Torag, some feel drawn to devote themselves to these later aspects of the Father of Creation. Known as sacred sentinels, these holy warriors view themselves as mortal shields of defense in Torag’s service, and seek to place themselves where defenders are most needed. Many speak of themselves as pillars, strong structures that can hold up a vast building but only by supporting the other beams and supports needed. The pillar is the source of the strength, but its strength must serve to support a network of other beams or it accomplishes little.<br>Sacred sentinels are always front-line combatants, and value mobility to ensure they can reach the places they are most needed. As a result they are most often cavaliers (especially of the order of the dragon, the order of the guard from Pathfinder Campaign Setting: Inner Sea Combat, or the order of the shield) or paladins with a mount as a divine bond. The majority of sacred sentinels are dwarves, but other races that worship Torag are sometimes called to serve. For example, in the frozen Lands of the Linnorm Kings, there exists a relatively obscure but long-standing order known as the “Linnorm Guard.” This small number of Ulfen fighters are unusually lawful in their outlook, considering the brutality and chaos their barbaric kin often embrace. The Linnorm Guard seeks to provide protection for both the Linnorm Kings and those they have allied with, be they visiting dignitaries, old but beloved boon companions, or even hidden lovers or paramours.Requirements<br>To qualify to become a sacred sentinel, a character must fulfill all the following criteria.<br>Base Attack Bonus: +6.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Sacred%20Sentinel
Sanguine Angel	Adventurer's Guide pg. 80	d10.	Lawful evil, lawful neutral, or neutral evil.			Of those Gray Maidens who remain loyal to the ideals of Queen Ileosa, none have seen as much success as the members of the Erinyes Company. The company’s origin lies with a band of Gray Maidens led by Qualins Rachmirol, who commandeered a ship in the wake of Ileosa’s defeat and sailed to Cheliax. Her Infernal Majestrix was impressed by the soldiers’ devotion and prowess; Abrogail adopted them into the Chelish military and gave the group its new name.<br>The Erinyes Company has expanded from its original 27 members, although not drastically, as the initiation process for new recruits is intense and often lethal. By the end, the survivors are every bit as physically and psychologically scarred as the original Gray Maidens. The company has, however, abandoned Ileosa’s doctrine of racial purity; drive and will are what make an Erinyes, not skin or shape.<br>Elite Erinyes Company members are heartless soldiers known as sanguine angels. While the Gray Maidens were once a secular organization, the majority of the Erinyes have turned to worship the infernal demigoddesses known as the Queens of the Night. These vengeful devils reward the company’s elite with infernal powers.Requirements<br>To qualify to become a sanguine angel, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Sanguine%20Angel
Scar Seeker	Paths of the Righteous pg. 26	d10.	Lawful good or neutral good.			The empyreal lord Vildeis doesn’t demand acts of self-mortification. Nonetheless, some devoted turn their own skins into scarred manuscripts of noteworthy deeds and unforgettable failures. Those who wholly embrace these rites of scarification are known as scar seekers. There is no formal order of scar seekers. Instead, the path is a personal journey guided by the practitioner’s convictions and experiences. Even when two scar seekers meet, they rarely remain together longer than it takes to compare their wounds or thwart a nearby fiend, as such disciples too often attempt to outdo one another’s pain.Requirements<br>To qualify to become a scar seeker, a character must fulfill all of the following criteria.<br>Base Attack Bonus: +5.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Scar%20Seeker
Sentinel	Inner Sea Gods pg. 202	d10.	Within one step of chosen deity.			Every major deity boasts champions of some type, whether they are paladins sworn to Iomedae or barbarians who channel their destructive rage from Rovagug. The sentinel is a warrior who receives special powers in exchange for his service to a deity, and often serves as a guard for the deity’s clergy. Some undergo official training, others experience visions leading them to their path, and some simply make the decision to pledge their lives to upholding their faith.<br>Sentinels frequently clash with enemies of their deity or champions of rival faiths, and occasionally work with other sentinels to undertake great quests or overcome challenging obstacles. Some inspire unique warrior orders dedicated to their faith, and legendary champions of the faith are often sentinels.Requirements<br>To qualify to become a sentinel, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Sentinel
Shackles Pirate	Pathfinder Campaign Setting pg. 232	d8.	Any nonlawful.			Pirates of the Shackles prowl rivers in skiffs, rowboats, and coracles in search of easy prey. Those who prove handy at waterway robbery might someday find a position on the galleons that frequently raid along the coast and waylay trade ships. They are adept at navigating the treacherous marshes of the area, and able to survive the unending raging hurricane.<br>Some gifted pirates possess the ability to sail unharmed into the Eye of Abendego, harness its power for their own purposes, and make legends of their names.Requirements<br>To qualify to become a Shackles pirate, a character must fulfill all the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Shackles%20Pirate
Shadowdancer	PRPG Core Rulebook pg. 391	d8.	Because of their nature as visually duplicitous tricksters, shadowdancers do not fit comfortably into the lawful category, as many use their talents to avoid the eyes of legitimate authority. Yet though they are allies of darkness, shadowdancers are neither inherently evil nor predisposed to good. To them, the darkness is simply the darkness, without any of the usual moral connotations made by the unenlightened.	Shadowdancers adventure for a wide variety of reasons. Many adventuring parties find shadowdancers valuable members of their teams due to their incredible stealth and ability to surprise enemies with lightning-quick attacks where they're least expected. For this reason, their services are often sought out by those groups in need of scouts or spies.		Civilized folk have always feared the night, barring themselves behind doors or comforting themselves with bonfires when the shadows grow long, rightfully wary of the creatures that prowl the darkness. Yet long ago, some learned that the best way to conquer an enemy is to embrace it. These were the first shadowdancers.<br>Shadowdancers exist in the boundary between light and darkness, where they weave together the shadows to become half-seen artists of deception. Unbound by any specified morality or traditional code, shadowdancers encompass a wide variety of adventuring types who have seen the value of the dark. Spellcasters use their abilities to safely cast spells from hiding and then move quickly away, while classes devoted to hand-to-hand combat enjoy the ability to attack foes with the element of surprise. Some even take the name of their kind quite literally, becoming eerie and mysterious performers and dancers, though more often the temptation presented by their talents with deception and infiltration causes shadowdancers to turn to lives of thievery.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Shadowdancer
Shieldmarshal	Paths of Prestige pg. 48	d10.				Shieldmarshals are the chief law enforcement officials of the Grand Duchy of Alkenstar, gunsmithing capital of the Inner Sea. They conduct both overt and discreet investigations of crimes within Alkenstar, as well as events elsewhere in the world that might threaten Alkenstar’s monopolistic domination of the gun trade. Smuggling, industrial espionage, and sabotage greatly concern the Ironmaster and Alkenstar’s ruling parliament, and the shieldmarshals are their chief weapon to combat such felonious behavior. The sheer skill with which they wield their favored firearms makes shieldmarshals a force to be reckoned with, and their silver crossed-rifle shield-badges are enough to open virtually any door in the Grand Duchy and to hold any citizen to account.Requirements<br>To qualify to become a shieldmarshal, a character must fulfill all the following criteria.<br>Feats: Gunsmithing, Quick Draw.<br>Skills: Diplomacy 5 ranks, Intimidate 5 ranks, Knowledge (local) 5 ranks, Perception 5 ranks, Sense Motive 5 ranks.<br>Special: Must have a grit pool of at least 1 grit point and proficiency with at least two firearms.Class Skills<br>The Shieldmarshal's class skills are Acrobatics (Dex), Bluff (Cha), Diplomacy (Cha), Disable Device (Dex), Intimidate (Cha), Knowledge (engineering) (Int), Knowledge (local) (Int), Perception (Wis), Sense Motive (Wis), Stealth (Dex), and Survival (Wis).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Shieldmarshal
Skyseeker	Paths of Prestige pg. 50	d10.				Perhaps no event so shaped dwarven history or culture as the legendary Quest for Sky. Spurred by the words of their prophets, the ancient dwarves abandoned their homes deep within the subterranean realm of Nar-Voth and began the perilous search for the sky over 5 millennia ago. For 300 years, the dwarves fought their way upward, driving their hated enemies—the orcs— before them. When they finally breached the surface, these legendary heroes built 10 grand fortresses across the face of Golarion—the 10 magnificent Sky Citadels.<br>In many ways, dwarven culture has been in decline since their fateful emergence. Four of the fabled Sky Citadels were lost to history or destroyed, and a fifth is now held by the orc hordes in the Hold of Belkzen. Many dwarves long for a return to their days of glory, when they stood upon the surface of Golarion as champions of both the surface and the Darklands below.<br>Those dwarves who commit themselves to making this dream a reality are known as the skyseekers. They travel the width and breadth of Avistan as well as Garund, unearthing every scrap of dwarven history and lore they can find. Many form expeditions to explore the dwarven ruins left behind by their ancestors during the migration, often battling the foul creatures that lurk beneath Golarion’s surface in their search for knowledge. Others hope to rediscover or retake one of the fabled Sky Citadels lost in the eons since the Quest for Sky.Requirements<br>To qualify to become a skyseeker, a character must fulfill all the following criteria.<br>Skills: Knowledge (dungeoneering) 5 ranks, Knowledge (history) 5 ranks.<br>Special: Favored enemy (giant, goblin, or orc) class feature.<br>Spellcasting: Able to cast 2nd-level divine spells.<br>Traits: Any dwarf racial trait or the adopted social trait (see the Advanced Player’s Guide, pages 331 and 329 respectively).Class Skills<br>The Skyseeker's class skills are Climb (Str), Intimidate (Cha), Knowledge (dungeoneering) (Int), Knowledge (geography) (Int), Perception (Wis), Stealth (Dex), Survival (Wis), and Swim (Str).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Skyseeker
Sleepless Detective	Paths of Prestige pg. 52	d8.				Although it operates mainly in the mist-shrouded principality of Ustalav, the Sleepless Agency provides unscrupulous security and investigative services to clientele all across Avistan. Whether guarding aristocrats in Taldor, protecting relics on their way to the markets of Absalom, or infiltrating the insular gangs of Kaer Maga, Sleepless agents reliably execute their contracts with the utmost professionalism and efficiency. Yet of all the Sleepless Agency’s personnel, its detectives are the most widely known and respected. Famous the world over for their astounding powers of logic and observation, Sleepless detectives solve some of the strangest, most impenetrable mysteries ever to trouble the citizens of the Inner Sea region—as long as someone has the coin to pay for such investigations.Requirements<br>To qualify to become a Sleepless detective, a character must fulfill all the following criteria.<br>Feats: Alertness.<br>Skills: Craft (alchemy) 5 ranks, Knowledge (local) 2 ranks, Perception 5 ranks, Sense Motive 5 ranks.Class Skills<br>The Sleepless Detective's class skills are Bluff (Cha), Diplomacy (Cha), Disable Device (Dex), Disguise (Cha), Heal (Wis), Intimidate (Cha), Knowledge (local) (Int), Perception (Wis), and Sense Motive (Wis).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Sleepless%20Detective
Soul Warden	Undead Slayer's Handbook pg. 30	d8.	Any nonevil.			Bygone products of an ancient war, soul wardens are an enigma of themselves. The original soul wardens were a specially trained cadre of anti-necromantic commandos in the Nexian army during the Age of Destiny. They rose to prominence during the height of Nex’s war against the undead kingdom of Geb. The wizards’ conflict came to a close during the Age of Enthronement with the undeath of Geb and the disappearance of Nex, and soul wardens fell into obscurity as those armies effectively dissolved. Now, the only soul wardens who tread Golarion are those individuals who unofficially claim the title by mastering the millennia-old secrets of these forgotten warriors.Requirements<br>To qualify for this prestige class, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Soul%20Warden
Souldrinker	Book of the Damned pg. 212	d6.	Neutral evil.			Pledging their souls to Abaddon, souldrinkers are proxies of death, serving the architects of the apocalypse until eventually their own souls are drawn into their masters’ waiting maws.Requirements<br>To qualify to become a souldrinker, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Souldrinker
Sphere Singer	Paths of the Righteous pg. 28	d8.	Neutral good, chaotic good, or chaotic neutral.			The faithful of Desna are legendary for their love of wayfaring, but the sphere singer takes this wanderlust to almost extreme lengths. Sphere singers combine faith and song to help them in their travels. They are always eager to discover what is past the horizon or in the next chamber. As the sphere singer advances in level, she learns to influence dreams and manipulate luck. Eventually, she even transcends her mortal origins to travel among the stars. Yet a sphere singer never loses sight of the fact that no matter how powerful she grows, she is still subject to the fickle whims of fate, and she trusts in luck to aid her in times of need.Requirements<br>To qualify to become a sphere singer, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Sphere%20Singer
Spherewalker	Pathfinder #2: The Skinsaw Murders pg. 73	d8.				A spherewalker is one who embraces the philosophy of Desna: travel far and wide, fight for your dreams, and indulge your desires. Spherewalkers explore extreme locales, dream fantastic dreams, and press their luck (good and bad) to make their lives interesting and noteworthy. They are known for founding cities, discovering lost civilizations, and going places where none have ever trod. They may choose to walk the distant paths alone or try to understand the mysteries of the mind and soul and become great leaders. Above all, spherewalkers seek adventure, with all the risks and rewards that such endeavors bring.<br>Spherewalkers are often multiclassed characters, as they tend to dabble in various classes to suit their adventuring needs. Their versatility adds extra depth and utility to combat-oriented characters (barbarians, fighters, rangers), their unusual magic appeals to spellcasters, and their special abilities make it easy for nonmagical characters to get out of tight spots.Requirements<br>To qualify to become a spherewalker, a character must fulfill all of the following criteria:<br>Deity: Desna.<br>Base Attack Bonus: +5<br>Skills: 5 ranks in any two of the following skills: Climb, Knowledge (geography), Knowledge (nature), Knowledge (religion), Perform, Ride, Survival, or Swim.<br>Feats: Martial Weapon Proficentcy (starknife), one survivor feat (Great Fortitude, Iron Will, or Lightning Reflexes), one explorer feat (Acrobatic, Agile, Athletic, Endurance, Run, or Self-Sufficient).<br>Special: A spherewalker-to-be must have journeyed far in his lifetime, visiting two locations sacred to Desna that are at least 200 miles apart. Class Skills<br>The Spherewalker's class skills are Balance, Climb, Concentration, Escape Artist, Handle Animal, Heal, Jump, Knowledge (geography), Perform, Ride, Spot, Survival, Swim, and Tumble.<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Spherewalker
Stalwart Defender	Advanced Player's Guide pg. 277	d12.	Anyone can be as stubborn as a rock and dedicated to holding one point no matter the cost, so stalwart defenders can be of any alignment. The dedication and practice required to learn the talents of a stalwart defender come more easily to characters with a strong respect for order and organization, however, so lawful stalwart defenders are much more common than chaotic ones.	Stalwart defenders are masters of melee combat, striving to prove that the best offense is a good defense. Stalwart defenders are normally found on the front lines of battle, holding a position to cover their allies, leaping into breaches of opposing formations and holding them open for others, and guarding more vulnerable allies by acting as mobile fortifications, stable points in the ever-changing chaos of battle.		Drawn from the ranks of guards, knights, mercenaries, and thugs alike, stalwart defenders are masters of claiming an area and refusing to relinquish it. This behavior is more than a tactical decision for stalwart defenders; it's an obsessive, stubborn expression of the need to be undefeated. When stalwart defenders set themselves in a defensive stance, they place their whole effort into weathering whatever foe, conflict, or threat comes their way.<br>Most stalwart defenders come from the ranks of fighters, often those desiring to be better guards for friends and allies. Dwarves are particularly suited to the role, though stalwart defenders of all races exist. More rarely, barbarians take the path of the stalwart defender as a matter of pride, to overcome some perceived shortcoming. Such characters often seem to suffer from dual personalities, flinging themselves recklessly into combat one moment, then calmly fending off all attackers the next.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Stalwart%20Defender
